# 251113_11:22:02.730908
t	CH1	CH2
0.000000e+00	1.375116e-04	-3.463055e+00
1.000000e-08	-8.539831e-04	-3.505761e+00
2.000000e-08	2.804096e-03	-3.545666e+00
3.000000e-08	-5.768286e-04	-3.556344e+00
4.000000e-08	-6.582525e-05	-3.607395e+00
5.000000e-08	-8.734981e-04	-3.578374e+00
6.000000e-08	1.875637e-03	-3.597950e+00
7.000000e-08	-1.068723e-03	-3.609949e+00
8.000000e-08	-1.169509e-03	-3.630529e+00
9.000000e-08	-1.008040e-03	-3.662554e+00
1.000000e-07	9.896409e-04	-3.642555e+00
1.100000e-07	8.094936e-04	-3.723133e+00
1.200000e-07	-5.390261e-04	-3.692340e+00
1.300000e-07	-9.982969e-04	-3.745268e+00
1.400000e-07	4.700411e-04	-3.817924e+00
1.500000e-07	1.262150e-03	-3.829031e+00
1.600000e-07	-7.602816e-04	-3.860610e+00
1.700000e-07	-4.116836e-04	-3.884660e+00
1.800000e-07	-4.481187e-04	-3.943295e+00
1.900000e-07	1.558841e-03	-3.947342e+00
2.000000e-07	-4.589066e-04	-3.976397e+00
2.100000e-07	-7.476886e-04	-3.977947e+00
2.200000e-07	-7.116253e-04	-4.008975e+00
2.300000e-07	1.897899e-03	-4.000049e+00
2.400000e-07	-4.776137e-04	-4.010000e+00
2.500000e-07	4.973853e-04	-3.989503e+00
2.600000e-07	-9.739726e-04	-4.032526e+00
2.700000e-07	1.076741e-03	-4.020504e+00
2.800000e-07	3.918101e-04	-4.092082e+00
2.900000e-07	1.855370e-06	-4.083084e+00
3.000000e-07	-6.962209e-04	-4.092657e+00
3.100000e-07	1.056257e-03	-4.132742e+00
3.200000e-07	1.154926e-06	-4.155242e+00
3.300000e-07	9.845508e-04	-4.143768e+00
3.400000e-07	-3.189808e-04	-4.168399e+00
3.500000e-07	6.269756e-05	-4.208874e+00
3.600000e-07	3.893975e-04	-4.177875e+00
3.700000e-07	1.037871e-03	-4.158927e+00
3.800000e-07	-2.868053e-04	-4.208976e+00
3.900000e-07	2.566829e-04	-4.239428e+00
4.000000e-07	6.329437e-04	-4.250905e+00
4.100000e-07	3.777422e-04	-4.222105e+00
4.200000e-07	6.995113e-04	-4.292608e+00
4.300000e-07	-3.878471e-06	-4.272084e+00
4.400000e-07	4.759430e-04	-4.282708e+00
4.500000e-07	1.585126e-03	-4.323215e+00
4.600000e-07	3.445593e-04	-4.315686e+00
4.700000e-07	8.025233e-04	-4.315743e+00
4.800000e-07	6.936308e-04	-4.346317e+00
4.900000e-07	6.001701e-05	-4.375846e+00
5.000000e-07	-2.254972e-04	-4.367395e+00
5.100000e-07	-1.188233e-03	-4.377417e+00
5.200000e-07	2.223785e-04	-4.367850e+00
5.300000e-07	6.291072e-04	-4.379423e+00
5.400000e-07	1.252245e-03	-4.379447e+00
5.500000e-07	7.637734e-04	-4.407970e+00
5.600000e-07	4.223837e-04	-4.378975e+00
5.700000e-07	-2.292562e-04	-4.418000e+00
5.800000e-07	9.428383e-04	-4.400000e+00
5.900000e-07	1.319833e-04	-4.410500e+00
6.000000e-07	2.159856e-04	-4.408976e+00
6.100000e-07	5.933949e-04	-4.420478e+00
6.200000e-07	1.338162e-03	-4.409499e+00
6.300000e-07	7.677980e-04	-4.420551e+00
6.400000e-07	1.744740e-04	-4.430553e+00
6.500000e-07	2.047049e-04	-4.430083e+00
6.600000e-07	9.448012e-04	-4.461001e+00
6.700000e-07	1.121835e-03	-4.430530e+00
6.800000e-07	5.111555e-04	-4.430030e+00
6.900000e-07	-2.658132e-05	-4.421502e+00
7.000000e-07	1.350946e-03	-4.431080e+00
7.100000e-07	1.189164e-03	-4.462559e+00
7.200000e-07	1.025699e-03	-4.440582e+00
7.300000e-07	1.120079e-04	-4.432552e+00
7.400000e-07	9.758038e-04	-4.461005e+00
7.500000e-07	1.051946e-03	-4.443008e+00
7.600000e-07	2.855391e-04	-4.472078e+00
7.700000e-07	5.153484e-04	-4.451037e+00
7.800000e-07	6.868611e-04	-4.431559e+00
7.900000e-07	9.663880e-04	-4.472085e+00
8.000000e-07	7.353123e-04	-4.472131e+00
8.100000e-07	8.248199e-04	-4.443132e+00
8.200000e-07	9.186002e-04	-4.430532e+00
8.300000e-07	9.713747e-04	-4.482105e+00
8.400000e-07	1.061126e-03	-4.469610e+00
8.500000e-07	1.309791e-03	-4.461649e+00
8.600000e-07	1.532808e-03	-4.432157e+00
8.700000e-07	9.616020e-04	-4.443057e+00
8.800000e-07	7.555358e-04	-4.471079e+00
8.900000e-07	3.606301e-04	-4.432537e+00
9.000000e-07	7.188449e-04	-4.482582e+00
9.100000e-07	1.197317e-03	-4.452004e+00
9.200000e-07	1.490540e-03	-4.481525e+00
9.300000e-07	1.809129e-03	-4.431028e+00
9.400000e-07	1.203183e-03	-4.460579e+00
9.500000e-07	9.424335e-04	-4.441030e+00
9.600000e-07	1.111000e-03	-4.400031e+00
9.700000e-07	1.432751e-03	-4.431078e+00
9.800000e-07	4.928062e-04	-4.411052e+00
9.900000e-07	2.839074e-04	-4.411027e+00
1.000000e-06	4.071135e-04	-4.420525e+00
1.010000e-06	9.298802e-04	-4.410051e+00
1.020000e-06	1.614586e-03	-4.440500e+00
1.030000e-06	3.095815e-04	-4.400978e+00
1.040000e-06	1.212211e-03	-4.398478e+00
1.050000e-06	2.057486e-03	-4.409975e+00
1.060000e-06	1.676608e-03	-4.429449e+00
1.070000e-06	7.369224e-04	-4.389974e+00
1.080000e-06	7.031299e-04	-4.408501e+00
1.090000e-06	4.423620e-04	-4.388997e+00
1.100000e-06	1.090144e-03	-4.378396e+00
1.110000e-06	6.738056e-04	-4.378396e+00
1.120000e-06	5.824386e-04	-4.378745e+00
1.130000e-06	5.900579e-04	-4.366895e+00
1.140000e-06	2.382705e-03	-4.337395e+00
1.150000e-06	1.485731e-03	-4.366266e+00
1.160000e-06	4.671059e-04	-4.337819e+00
1.170000e-06	-9.027836e-04	-4.323268e+00
1.180000e-06	7.410387e-05	-4.284762e+00
1.190000e-06	6.858425e-04	-4.335583e+00
1.200000e-06	1.101126e-03	-4.322637e+00
1.210000e-06	3.129353e-04	-4.282533e+00
1.220000e-06	1.341239e-03	-4.271630e+00
1.230000e-06	2.095531e-03	-4.252004e+00
1.240000e-06	1.214668e-03	-4.251479e+00
1.250000e-06	1.026398e-04	-4.231505e+00
1.260000e-06	2.223944e-04	-4.209528e+00
1.270000e-06	6.854908e-04	-4.229925e+00
1.280000e-06	-2.009608e-05	-4.188920e+00
1.290000e-06	-2.697423e-04	-4.167822e+00
1.300000e-06	-3.774014e-04	-4.168294e+00
1.310000e-06	1.565089e-03	-4.147319e+00
1.320000e-06	1.177181e-03	-4.135239e+00
1.330000e-06	5.919991e-04	-4.105139e+00
1.340000e-06	2.685401e-04	-4.065132e+00
1.350000e-06	6.080946e-04	-4.083134e+00
1.360000e-06	5.801821e-04	-4.012103e+00
1.370000e-06	2.220284e-04	-4.051585e+00
1.380000e-06	-8.535969e-04	-4.000525e+00
1.390000e-06	1.806188e-05	-4.030004e+00
1.400000e-06	6.581248e-04	-4.010003e+00
1.410000e-06	2.542071e-04	-4.008949e+00
1.420000e-06	-3.171570e-04	-3.999971e+00
1.430000e-06	1.353612e-04	-3.999422e+00
1.440000e-06	3.477261e-04	-3.977942e+00
1.450000e-06	4.901548e-04	-3.927893e+00
1.460000e-06	6.741797e-04	-3.946296e+00
1.470000e-06	-5.985708e-04	-3.876208e+00
1.480000e-06	1.467313e-04	-3.874681e+00
1.490000e-06	-1.700091e-03	-3.811980e+00
1.500000e-06	1.067041e-03	-3.781405e+00
1.510000e-06	-8.933700e-04	-3.696897e+00
1.520000e-06	1.680724e-03	-3.755618e+00
1.530000e-06	6.806137e-04	-3.713108e+00
1.540000e-06	1.403536e-03	-3.653631e+00
1.550000e-06	5.265028e-04	-3.621530e+00
1.560000e-06	-3.563975e-04	-3.641976e+00
1.570000e-06	-1.043638e-03	-3.610503e+00
1.580000e-06	-2.133066e-03	-3.619501e+00
1.590000e-06	-1.652046e-03	-3.589950e+00
1.600000e-06	-7.310288e-04	-3.558895e+00
