# Temperatura_=_24.55619047619048
# Concentracion g/m^3_=_2000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_134983.58839408477
# Promedio de 21 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.285861e-09	-1.190046e-09	-3.844477e+01	-7.887284e+01
1.000000e-08	-5.285983e-09	-1.190007e-09	-3.844566e+01	-7.885813e+01
2.000000e-08	-5.285877e-09	-1.189163e-09	-3.844488e+01	-7.884588e+01
3.000000e-08	-5.285477e-09	-1.188891e-09	-3.844197e+01	-7.883627e+01
4.000000e-08	-5.284679e-09	-1.188751e-09	-3.843617e+01	-7.882948e+01
5.000000e-08	-5.283407e-09	-1.189891e-09	-3.842692e+01	-7.882562e+01
6.000000e-08	-5.281596e-09	-1.196504e-09	-3.841375e+01	-7.882479e+01
7.000000e-08	-5.279188e-09	-1.207440e-09	-3.839624e+01	-7.882703e+01
8.000000e-08	-5.276199e-09	-1.197047e-09	-3.837449e+01	-7.883238e+01
9.000000e-08	-5.272680e-09	-1.149999e-09	-3.834890e+01	-7.884079e+01
1.000000e-07	-5.268754e-09	-1.141785e-09	-3.832035e+01	-7.885221e+01
1.100000e-07	-5.264578e-09	-1.229975e-09	-3.828998e+01	-7.886652e+01
1.200000e-07	-5.260208e-09	-1.250979e-09	-3.825819e+01	-7.888357e+01
1.300000e-07	-5.255570e-09	-1.149215e-09	-3.822446e+01	-7.890319e+01
1.400000e-07	-5.250561e-09	-1.119796e-09	-3.818803e+01	-7.892514e+01
1.500000e-07	-5.245152e-09	-1.234542e-09	-3.814869e+01	-7.894915e+01
1.600000e-07	-5.239376e-09	-1.277601e-09	-3.810668e+01	-7.897492e+01
1.700000e-07	-5.233243e-09	-1.129863e-09	-3.806207e+01	-7.900211e+01
1.800000e-07	-5.226715e-09	-1.085377e-09	-3.801459e+01	-7.903035e+01
1.900000e-07	-5.219828e-09	-1.205985e-09	-3.796450e+01	-7.905925e+01
2.000000e-07	-5.212664e-09	-1.249290e-09	-3.791239e+01	-7.908836e+01
2.100000e-07	-5.205232e-09	-1.143236e-09	-3.785834e+01	-7.911723e+01
2.200000e-07	-5.197527e-09	-1.146618e-09	-3.780230e+01	-7.914539e+01
2.300000e-07	-5.189549e-09	-1.253569e-09	-3.774427e+01	-7.917236e+01
2.400000e-07	-5.181223e-09	-1.231626e-09	-3.768372e+01	-7.919761e+01
2.500000e-07	-5.172411e-09	-1.142758e-09	-3.761963e+01	-7.922063e+01
2.600000e-07	-5.162998e-09	-1.194846e-09	-3.755117e+01	-7.924090e+01
2.700000e-07	-5.152996e-09	-1.274789e-09	-3.747842e+01	-7.925789e+01
2.800000e-07	-5.142477e-09	-1.204500e-09	-3.740191e+01	-7.927107e+01
2.900000e-07	-5.131484e-09	-1.167690e-09	-3.732196e+01	-7.927993e+01
3.000000e-07	-5.120051e-09	-1.261684e-09	-3.723881e+01	-7.928396e+01
3.100000e-07	-5.108222e-09	-1.283282e-09	-3.715278e+01	-7.928265e+01
3.200000e-07	-5.096040e-09	-1.190349e-09	-3.706417e+01	-7.927553e+01
3.300000e-07	-5.083500e-09	-1.201373e-09	-3.697296e+01	-7.926213e+01
3.400000e-07	-5.070576e-09	-1.267277e-09	-3.687897e+01	-7.924203e+01
3.500000e-07	-5.057263e-09	-1.238400e-09	-3.678214e+01	-7.921481e+01
3.600000e-07	-5.043590e-09	-1.198914e-09	-3.668269e+01	-7.918009e+01
3.700000e-07	-5.029532e-09	-1.232818e-09	-3.658045e+01	-7.913752e+01
3.800000e-07	-5.015001e-09	-1.226870e-09	-3.647477e+01	-7.908680e+01
3.900000e-07	-4.999925e-09	-1.199757e-09	-3.636512e+01	-7.902765e+01
4.000000e-07	-4.984296e-09	-1.226432e-09	-3.625144e+01	-7.895983e+01
4.100000e-07	-4.968207e-09	-1.231398e-09	-3.613443e+01	-7.888314e+01
4.200000e-07	-4.951735e-09	-1.183055e-09	-3.601462e+01	-7.879742e+01
4.300000e-07	-4.934908e-09	-1.201819e-09	-3.589224e+01	-7.870257e+01
4.400000e-07	-4.917796e-09	-1.243556e-09	-3.576778e+01	-7.859850e+01
4.500000e-07	-4.900415e-09	-1.205349e-09	-3.564137e+01	-7.848519e+01
4.600000e-07	-4.882741e-09	-1.165516e-09	-3.551282e+01	-7.836264e+01
4.700000e-07	-4.864734e-09	-1.196489e-09	-3.538185e+01	-7.823089e+01
4.800000e-07	-4.846350e-09	-1.210773e-09	-3.524815e+01	-7.809003e+01
4.900000e-07	-4.827571e-09	-1.187517e-09	-3.511157e+01	-7.794018e+01
5.000000e-07	-4.808423e-09	-1.179604e-09	-3.497230e+01	-7.778149e+01
5.100000e-07	-4.788961e-09	-1.181964e-09	-3.483075e+01	-7.761415e+01
5.200000e-07	-4.769242e-09	-1.185334e-09	-3.468733e+01	-7.743838e+01
5.300000e-07	-4.749319e-09	-1.196072e-09	-3.454242e+01	-7.725442e+01
5.400000e-07	-4.729176e-09	-1.181743e-09	-3.439592e+01	-7.706254e+01
5.500000e-07	-4.708751e-09	-1.153256e-09	-3.424737e+01	-7.686302e+01
5.600000e-07	-4.688004e-09	-1.167100e-09	-3.409647e+01	-7.665616e+01
5.700000e-07	-4.666927e-09	-1.188152e-09	-3.394318e+01	-7.644229e+01
5.800000e-07	-4.645529e-09	-1.168422e-09	-3.378755e+01	-7.622172e+01
5.900000e-07	-4.623845e-09	-1.144250e-09	-3.362984e+01	-7.599481e+01
6.000000e-07	-4.601875e-09	-1.151163e-09	-3.347004e+01	-7.576187e+01
6.100000e-07	-4.579577e-09	-1.161880e-09	-3.330787e+01	-7.552326e+01
6.200000e-07	-4.556941e-09	-1.158245e-09	-3.314324e+01	-7.527930e+01
6.300000e-07	-4.533966e-09	-1.139451e-09	-3.297613e+01	-7.503031e+01
6.400000e-07	-4.510670e-09	-1.130045e-09	-3.280670e+01	-7.477662e+01
6.500000e-07	-4.487112e-09	-1.142536e-09	-3.263536e+01	-7.451852e+01
6.600000e-07	-4.463330e-09	-1.150683e-09	-3.246239e+01	-7.425630e+01
6.700000e-07	-4.439333e-09	-1.127259e-09	-3.228785e+01	-7.399024e+01
6.800000e-07	-4.415087e-09	-1.107037e-09	-3.211151e+01	-7.372056e+01
6.900000e-07	-4.390524e-09	-1.113049e-09	-3.193286e+01	-7.344750e+01
