# 251113_15:31:43.010614
t	CH1	CH2
0.000000e+00	1.595892e-03	-3.422581e+00
1.000000e-08	-4.080758e-03	-3.424705e+00
2.000000e-08	-6.421435e-05	-3.474741e+00
3.000000e-08	-3.778456e-03	-3.506913e+00
4.000000e-08	5.066478e-04	-3.517365e+00
5.000000e-08	-3.748260e-03	-3.558447e+00
6.000000e-08	-1.149199e-03	-3.538972e+00
7.000000e-08	-3.207979e-03	-3.559972e+00
8.000000e-08	-5.507508e-04	-3.609999e+00
9.000000e-08	-1.847528e-03	-3.590526e+00
1.000000e-07	-1.331089e-03	-3.612525e+00
1.100000e-07	-1.742510e-03	-3.602176e+00
1.200000e-07	-1.474174e-03	-3.623205e+00
1.300000e-07	-1.874880e-03	-3.682835e+00
1.400000e-07	-2.816410e-03	-3.695287e+00
1.500000e-07	-7.575096e-04	-3.696047e+00
1.600000e-07	-2.115620e-03	-3.749547e+00
1.700000e-07	-1.162751e-04	-3.790629e+00
1.800000e-07	-2.339551e-03	-3.914697e+00
1.900000e-07	-1.071274e-03	-3.893809e+00
2.000000e-07	-2.315191e-03	-3.916890e+00
2.100000e-07	-4.308647e-04	-3.917991e+00
2.200000e-07	-2.766239e-03	-3.937997e+00
2.300000e-07	3.164078e-05	-3.958975e+00
2.400000e-07	-2.896128e-03	-3.988976e+00
2.500000e-07	2.935240e-04	-3.990528e+00
2.600000e-07	-2.382290e-03	-3.990050e+00
2.700000e-07	-2.242266e-04	-4.021579e+00
2.800000e-07	-2.929597e-03	-3.991003e+00
2.900000e-07	-1.247612e-04	-4.012580e+00
3.000000e-07	-2.420002e-03	-4.061129e+00
3.100000e-07	-1.078868e-04	-4.043759e+00
3.200000e-07	-2.556974e-03	-4.064708e+00
3.300000e-07	-1.084339e-04	-4.086336e+00
3.400000e-07	-2.780834e-03	-4.075337e+00
3.500000e-07	-9.896614e-04	-4.125363e+00
3.600000e-07	-2.169138e-03	-4.137395e+00
3.700000e-07	-4.037089e-04	-4.157846e+00
3.800000e-07	-1.147220e-03	-4.149396e+00
3.900000e-07	-1.048714e-03	-4.169469e+00
4.000000e-07	-1.148015e-03	-4.179499e+00
4.100000e-07	-1.709355e-03	-4.181027e+00
4.200000e-07	-1.149098e-03	-4.191103e+00
4.300000e-07	-2.028391e-03	-4.201128e+00
4.400000e-07	-1.043150e-03	-4.241080e+00
4.500000e-07	-1.529670e-03	-4.223757e+00
4.600000e-07	-4.762332e-04	-4.262733e+00
4.700000e-07	-2.661991e-03	-4.263787e+00
4.800000e-07	4.463506e-04	-4.285738e+00
4.900000e-07	-2.287856e-03	-4.334757e+00
5.000000e-07	-1.921238e-04	-4.284845e+00
5.100000e-07	-2.166921e-03	-4.297841e+00
5.200000e-07	-1.408656e-03	-4.326942e+00
5.300000e-07	-1.731265e-03	-4.337920e+00
5.400000e-07	-5.994282e-04	-4.338445e+00
5.500000e-07	-1.997618e-03	-4.358446e+00
5.600000e-07	-8.774741e-04	-4.337970e+00
5.700000e-07	-1.898036e-03	-4.378949e+00
5.800000e-07	-1.173122e-03	-4.368971e+00
5.900000e-07	-1.264067e-03	-4.378000e+00
6.000000e-07	-1.131163e-03	-4.360498e+00
6.100000e-07	-7.411466e-04	-4.389501e+00
6.200000e-07	-1.057760e-03	-4.379924e+00
6.300000e-07	-1.033326e-03	-4.390499e+00
6.400000e-07	-1.762528e-03	-4.411001e+00
6.500000e-07	-1.667200e-03	-4.400025e+00
6.600000e-07	-1.833447e-03	-4.409576e+00
6.700000e-07	-5.565835e-04	-4.390100e+00
6.800000e-07	-9.156331e-04	-4.410501e+00
6.900000e-07	2.460156e-04	-4.420001e+00
7.000000e-07	-9.707721e-04	-4.402504e+00
7.100000e-07	1.075143e-04	-4.441529e+00
7.200000e-07	-1.737177e-03	-4.410528e+00
7.300000e-07	-1.108862e-03	-4.421054e+00
7.400000e-07	-1.786994e-03	-4.411551e+00
7.500000e-07	-1.146856e-03	-4.401053e+00
7.600000e-07	-7.301372e-04	-4.441554e+00
7.700000e-07	2.728173e-04	-4.402024e+00
7.800000e-07	-5.867710e-04	-4.422104e+00
7.900000e-07	-3.073006e-04	-4.401579e+00
8.000000e-07	-4.010372e-04	-4.392601e+00
8.100000e-07	-1.671654e-04	-4.402603e+00
8.200000e-07	-1.736615e-03	-4.411104e+00
8.300000e-07	-7.275559e-04	-4.411576e+00
8.400000e-07	-6.556434e-04	-4.411054e+00
8.500000e-07	-8.117755e-04	-4.431529e+00
8.600000e-07	-5.612550e-05	-4.400603e+00
8.700000e-07	-6.715215e-05	-4.412527e+00
8.800000e-07	-7.405383e-04	-4.401530e+00
8.900000e-07	-6.174176e-04	-4.411051e+00
9.000000e-07	-3.731727e-05	-4.421076e+00
9.100000e-07	-3.031716e-04	-4.400527e+00
9.200000e-07	-5.960783e-04	-4.410528e+00
9.300000e-07	-4.032434e-04	-4.390078e+00
9.400000e-07	4.298053e-04	-4.390551e+00
9.500000e-07	-1.567058e-04	-4.421076e+00
9.600000e-07	-1.000393e-03	-4.400553e+00
9.700000e-07	-1.431819e-03	-4.400476e+00
9.800000e-07	6.402301e-05	-4.379950e+00
9.900000e-07	-4.033822e-04	-4.410025e+00
1.000000e-06	-3.954576e-04	-4.400003e+00
1.010000e-06	-2.092268e-03	-4.380499e+00
1.020000e-06	-1.570688e-04	-4.389973e+00
1.030000e-06	-1.942305e-04	-4.369499e+00
1.040000e-06	-1.027073e-03	-4.368974e+00
1.050000e-06	-2.077295e-03	-4.380471e+00
1.060000e-06	-1.162005e-03	-4.389475e+00
1.070000e-06	5.482042e-04	-4.358897e+00
1.080000e-06	1.871306e-04	-4.367946e+00
1.090000e-06	-1.501870e-03	-4.346945e+00
1.100000e-06	-4.106536e-04	-4.348915e+00
1.110000e-06	-3.893812e-04	-4.337416e+00
1.120000e-06	7.542088e-05	-4.276917e+00
1.130000e-06	-2.002096e-03	-4.336842e+00
1.140000e-06	-2.027568e-03	-4.325813e+00
1.150000e-06	-1.282832e-03	-4.287292e+00
1.160000e-06	-3.980911e-04	-4.305812e+00
1.170000e-06	-1.272632e-03	-4.261636e+00
1.180000e-06	-1.248367e-03	-4.222782e+00
1.190000e-06	-1.647536e-03	-4.244608e+00
1.200000e-06	-1.693245e-03	-4.262078e+00
1.210000e-06	-9.941470e-04	-4.231125e+00
1.220000e-06	-3.027855e-03	-4.201049e+00
1.230000e-06	-1.650506e-03	-4.221480e+00
1.240000e-06	-2.794131e-03	-4.200021e+00
1.250000e-06	-7.169457e-04	-4.199550e+00
1.260000e-06	-6.529029e-04	-4.137446e+00
1.270000e-06	-1.053693e-03	-4.148924e+00
1.280000e-06	5.049184e-04	-4.148871e+00
