# 251113_15:43:56.158753
t	CH1	CH2
0.000000e+00	1.022584e-03	-3.451074e+00
1.000000e-08	-4.060429e-03	-3.451653e+00
2.000000e-08	1.736734e-03	-3.512208e+00
3.000000e-08	-2.709726e-03	-3.516217e+00
4.000000e-08	8.819789e-04	-3.576417e+00
5.000000e-08	-4.652814e-03	-3.587421e+00
6.000000e-08	5.199941e-04	-3.567896e+00
7.000000e-08	-3.304373e-03	-3.598974e+00
8.000000e-08	1.476260e-03	-3.589474e+00
9.000000e-08	-3.605075e-03	-3.599499e+00
1.000000e-07	1.113394e-03	-3.619551e+00
1.100000e-07	-1.652611e-03	-3.650530e+00
1.200000e-07	1.064669e-03	-3.680632e+00
1.300000e-07	-3.093430e-03	-3.681709e+00
1.400000e-07	-1.025692e-03	-3.723337e+00
1.500000e-07	-1.992685e-03	-3.765413e+00
1.600000e-07	1.289382e-04	-3.816245e+00
1.700000e-07	-2.170392e-03	-3.871050e+00
1.800000e-07	-7.330043e-04	-3.862535e+00
1.900000e-07	-1.114218e-03	-3.891212e+00
2.000000e-07	4.248290e-05	-3.935189e+00
2.100000e-07	-1.041694e-03	-3.956963e+00
2.200000e-07	-1.387759e-03	-3.978396e+00
2.300000e-07	-4.817432e-04	-3.998970e+00
2.400000e-07	-6.027494e-04	-3.989972e+00
2.500000e-07	3.687372e-04	-4.020024e+00
2.600000e-07	-1.974965e-03	-3.989975e+00
2.700000e-07	2.575471e-04	-4.010550e+00
2.800000e-07	-1.420219e-03	-4.031555e+00
2.900000e-07	9.115554e-04	-4.041053e+00
3.000000e-07	-1.792032e-03	-4.061028e+00
3.100000e-07	4.280464e-05	-4.083183e+00
3.200000e-07	-1.520244e-03	-4.103715e+00
3.300000e-07	1.024811e-03	-4.101708e+00
3.400000e-07	-2.238594e-03	-4.074216e+00
3.500000e-07	-2.411651e-04	-4.136263e+00
3.600000e-07	-2.389079e-03	-4.136342e+00
3.700000e-07	5.715875e-04	-4.146872e+00
3.800000e-07	-1.282865e-03	-4.186418e+00
3.900000e-07	-9.501957e-05	-4.178951e+00
4.000000e-07	-1.384901e-03	-4.199391e+00
4.100000e-07	1.109746e-03	-4.207999e+00
4.200000e-07	-3.650623e-04	-4.219550e+00
4.300000e-07	-2.749608e-04	-4.211604e+00
4.400000e-07	-1.959419e-03	-4.221130e+00
4.500000e-07	-2.448164e-04	-4.221604e+00
4.600000e-07	2.008798e-05	-4.291032e+00
4.700000e-07	-4.264157e-04	-4.322184e+00
4.800000e-07	-8.216734e-04	-4.263237e+00
4.900000e-07	-1.258028e-04	-4.292765e+00
5.000000e-07	-4.460846e-04	-4.313791e+00
5.100000e-07	-9.947297e-05	-4.324834e+00
5.200000e-07	-1.143259e-03	-4.336368e+00
5.300000e-07	7.574840e-04	-4.325240e+00
5.400000e-07	-7.143375e-04	-4.346894e+00
5.500000e-07	-1.942023e-03	-4.357317e+00
5.600000e-07	-1.807429e-03	-4.357372e+00
5.700000e-07	-1.031832e-03	-4.368918e+00
5.800000e-07	4.703302e-04	-4.368397e+00
5.900000e-07	5.415323e-04	-4.388422e+00
6.000000e-07	1.097206e-03	-4.389472e+00
6.100000e-07	5.263067e-04	-4.388975e+00
6.200000e-07	6.050411e-04	-4.399976e+00
6.300000e-07	-8.912711e-04	-4.397975e+00
6.400000e-07	-1.378333e-03	-4.399001e+00
6.500000e-07	-2.636834e-03	-4.409974e+00
6.600000e-07	-1.033051e-03	-4.389477e+00
6.700000e-07	-5.883272e-04	-4.400050e+00
6.800000e-07	7.613619e-04	-4.410025e+00
6.900000e-07	4.289343e-04	-4.400000e+00
7.000000e-07	1.336416e-03	-4.399001e+00
7.100000e-07	1.417357e-04	-4.399521e+00
7.200000e-07	-7.964954e-04	-4.411001e+00
7.300000e-07	-1.836826e-03	-4.450000e+00
7.400000e-07	-8.305065e-04	-4.389476e+00
7.500000e-07	-4.923542e-04	-4.390078e+00
7.600000e-07	2.912872e-04	-4.422151e+00
7.700000e-07	6.537893e-06	-4.430579e+00
7.800000e-07	1.930957e-03	-4.441051e+00
7.900000e-07	1.155102e-03	-4.400004e+00
8.000000e-07	-7.116560e-05	-4.411575e+00
8.100000e-07	-6.689717e-04	-4.430054e+00
8.200000e-07	6.132770e-04	-4.420000e+00
8.300000e-07	2.538228e-04	-4.430076e+00
8.400000e-07	6.817696e-04	-4.409549e+00
8.500000e-07	-7.889043e-04	-4.431053e+00
8.600000e-07	-3.201817e-04	-4.409528e+00
8.700000e-07	9.950670e-04	-4.401003e+00
8.800000e-07	7.305064e-04	-4.412051e+00
8.900000e-07	2.458157e-04	-4.420529e+00
9.000000e-07	8.772674e-04	-4.410500e+00
9.100000e-07	8.200815e-04	-4.432026e+00
9.200000e-07	8.078594e-04	-4.410525e+00
9.300000e-07	7.779927e-05	-4.419975e+00
9.400000e-07	-3.640149e-04	-4.410501e+00
9.500000e-07	4.547961e-04	-4.419978e+00
9.600000e-07	4.502520e-04	-4.400524e+00
9.700000e-07	5.068531e-04	-4.388975e+00
9.800000e-07	-1.265071e-04	-4.379524e+00
9.900000e-07	4.250418e-04	-4.389971e+00
1.000000e-06	6.229600e-04	-4.409975e+00
1.010000e-06	5.060854e-04	-4.399475e+00
1.020000e-06	-5.333252e-04	-4.388974e+00
1.030000e-06	-6.244492e-04	-4.378971e+00
1.040000e-06	1.590414e-05	-4.399469e+00
1.050000e-06	5.050831e-04	-4.387945e+00
1.060000e-06	-6.331918e-04	-4.376374e+00
1.070000e-06	-3.687491e-04	-4.357471e+00
1.080000e-06	2.044801e-04	-4.346900e+00
1.090000e-06	5.275191e-04	-4.337893e+00
1.100000e-06	-3.073325e-05	-4.323794e+00
1.110000e-06	-9.812371e-04	-4.365816e+00
1.120000e-06	-2.293502e-04	-4.285339e+00
1.130000e-06	5.292813e-04	-4.323210e+00
1.140000e-06	-3.004637e-04	-4.316762e+00
1.150000e-06	-8.537051e-04	-4.293236e+00
1.160000e-06	-5.387661e-04	-4.304213e+00
1.170000e-06	-5.100428e-04	-4.263632e+00
1.180000e-06	-7.018210e-04	-4.241561e+00
1.190000e-06	-7.973119e-04	-4.221102e+00
1.200000e-06	-8.573263e-04	-4.241529e+00
1.210000e-06	-4.243768e-04	-4.190473e+00
1.220000e-06	8.347362e-04	-4.210025e+00
1.230000e-06	-8.292415e-04	-4.210048e+00
1.240000e-06	-9.562164e-04	-4.168973e+00
1.250000e-06	-1.218217e-03	-4.188900e+00
1.260000e-06	-1.286022e-03	-4.153391e+00
1.270000e-06	-8.666189e-04	-4.155819e+00
1.280000e-06	-8.729012e-04	-4.127342e+00
1.290000e-06	-1.216614e-04	-4.144708e+00
1.300000e-06	9.855800e-05	-4.085192e+00
1.310000e-06	-3.266236e-04	-4.090689e+00
1.320000e-06	-5.730368e-04	-4.082211e+00
1.330000e-06	-1.142592e-03	-4.050678e+00
1.340000e-06	-1.257498e-03	-4.040125e+00
1.350000e-06	-8.012241e-04	-4.020604e+00
1.360000e-06	-5.280595e-04	-4.040548e+00
1.370000e-06	-2.674468e-04	-4.000051e+00
1.380000e-06	-1.057022e-03	-3.991550e+00
1.390000e-06	-1.126034e-03	-3.978025e+00
1.400000e-06	-1.152598e-03	-3.969021e+00
1.410000e-06	-1.062807e-03	-3.975846e+00
1.420000e-06	-1.267480e-03	-3.957349e+00
1.430000e-06	-1.148470e-03	-3.955964e+00
1.440000e-06	-1.433800e-03	-3.914869e+00
1.450000e-06	-4.740496e-04	-3.893262e+00
1.460000e-06	-1.143010e-03	-3.833283e+00
1.470000e-06	-1.482287e-03	-3.804602e+00
1.480000e-06	-2.174012e-03	-3.689974e+00
1.490000e-06	-3.401655e-04	-3.776414e+00
1.500000e-06	-1.062558e-03	-3.701763e+00
1.510000e-06	-6.732815e-04	-3.682686e+00
1.520000e-06	-1.377547e-03	-3.703129e+00
1.530000e-06	-4.314226e-04	-3.654078e+00
1.540000e-06	-1.564057e-03	-3.632076e+00
1.550000e-06	-1.484105e-03	-3.621002e+00
1.560000e-06	-1.859175e-03	-3.609999e+00
1.570000e-06	-1.769886e-03	-3.599969e+00
1.580000e-06	-1.578635e-03	-3.579446e+00
1.590000e-06	-1.687782e-03	-3.567971e+00
1.600000e-06	-1.134168e-03	-3.515841e+00
1.610000e-06	-1.005059e-03	-3.514739e+00
