# 251113_15:03:45.521988
t	CH1	CH2
0.000000e+00	-8.191082e-04	-3.440550e+00
1.000000e-08	-4.721903e-03	-3.442127e+00
2.000000e-08	2.432233e-04	-3.483162e+00
3.000000e-08	-2.506523e-03	-3.555812e+00
4.000000e-08	-1.941901e-03	-3.546267e+00
5.000000e-08	-1.798746e-03	-3.538420e+00
6.000000e-08	-1.745069e-03	-3.588445e+00
7.000000e-08	-2.871068e-03	-3.590500e+00
8.000000e-08	-5.473042e-03	-3.619024e+00
9.000000e-08	-3.199591e-03	-3.630975e+00
1.000000e-07	-3.185866e-03	-3.640604e+00
1.100000e-07	-3.467939e-04	-3.651535e+00
1.200000e-07	-2.083927e-03	-3.651582e+00
1.300000e-07	7.945322e-04	-3.692109e+00
1.400000e-07	-3.620582e-03	-3.743812e+00
1.500000e-07	-7.144640e-05	-3.805789e+00
1.600000e-07	-4.671304e-03	-3.777846e+00
1.700000e-07	-1.993526e-03	-3.841975e+00
1.800000e-07	-4.725469e-03	-3.912033e+00
1.900000e-07	-2.187355e-04	-3.922713e+00
2.000000e-07	-3.053703e-03	-3.884362e+00
2.100000e-07	6.251294e-04	-3.955792e+00
2.200000e-07	-2.773786e-03	-3.966895e+00
2.300000e-07	-5.089011e-04	-3.998446e+00
2.400000e-07	-4.218232e-03	-3.978950e+00
2.500000e-07	-1.804126e-03	-3.968951e+00
2.600000e-07	-4.135202e-03	-4.009476e+00
2.700000e-07	-6.953664e-04	-4.001550e+00
2.800000e-07	-2.985873e-03	-4.050529e+00
2.900000e-07	-3.469171e-04	-4.041579e+00
3.000000e-07	-2.446900e-03	-4.083559e+00
3.100000e-07	-8.256901e-04	-4.032182e+00
3.200000e-07	-2.678321e-03	-4.073684e+00
3.300000e-07	-1.770175e-03	-4.134785e+00
3.400000e-07	-2.337264e-03	-4.076190e+00
3.500000e-07	-2.156522e-03	-4.114915e+00
3.600000e-07	-2.384516e-03	-4.097342e+00
3.700000e-07	-2.532676e-03	-4.105367e+00
3.800000e-07	-1.793713e-03	-4.166923e+00
3.900000e-07	-2.171377e-03	-4.188425e+00
4.000000e-07	-1.632246e-03	-4.209377e+00
4.100000e-07	-2.472086e-03	-4.240475e+00
4.200000e-07	-1.218702e-03	-4.191502e+00
4.300000e-07	-2.902366e-03	-4.210028e+00
4.400000e-07	-1.594604e-03	-4.261079e+00
4.500000e-07	-2.922323e-03	-4.231556e+00
4.600000e-07	-2.160046e-03	-4.302612e+00
4.700000e-07	-2.770553e-03	-4.294208e+00
4.800000e-07	-2.340390e-03	-4.303213e+00
4.900000e-07	-2.667825e-03	-4.294238e+00
5.000000e-07	-1.398151e-04	-4.374314e+00
5.100000e-07	-1.307764e-03	-4.307392e+00
5.200000e-07	-2.037535e-03	-4.335842e+00
5.300000e-07	-2.816975e-03	-4.356371e+00
5.400000e-07	-1.113312e-03	-4.346866e+00
5.500000e-07	-4.002340e-03	-4.368821e+00
5.600000e-07	-2.888857e-03	-4.377346e+00
5.700000e-07	-5.772869e-03	-4.367999e+00
5.800000e-07	-6.227228e-04	-4.378399e+00
5.900000e-07	-7.164998e-04	-4.378475e+00
6.000000e-07	1.198343e-03	-4.378998e+00
6.100000e-07	1.348912e-05	-4.388501e+00
6.200000e-07	-7.531560e-04	-4.389000e+00
6.300000e-07	-2.790251e-03	-4.399501e+00
6.400000e-07	-5.326327e-03	-4.400525e+00
6.500000e-07	-4.712016e-03	-4.409999e+00
6.600000e-07	-5.083128e-03	-4.419501e+00
6.700000e-07	-1.161212e-03	-4.408976e+00
6.800000e-07	-2.751223e-04	-4.409999e+00
6.900000e-07	3.347506e-03	-4.431026e+00
7.000000e-07	5.159160e-04	-4.390053e+00
7.100000e-07	-5.740895e-05	-4.421026e+00
7.200000e-07	-4.760538e-03	-4.412006e+00
7.300000e-07	-3.479298e-03	-4.400573e+00
7.400000e-07	-5.830738e-03	-4.401076e+00
7.500000e-07	-2.054630e-03	-4.401053e+00
7.600000e-07	-1.990637e-03	-4.392528e+00
7.700000e-07	2.713045e-03	-4.421578e+00
7.800000e-07	5.850339e-04	-4.451101e+00
7.900000e-07	6.831442e-04	-4.420028e+00
8.000000e-07	-3.361210e-03	-4.419530e+00
8.100000e-07	-1.983322e-03	-4.412101e+00
8.200000e-07	-4.209730e-03	-4.401554e+00
8.300000e-07	-2.008737e-03	-4.420053e+00
8.400000e-07	-2.780612e-03	-4.400603e+00
8.500000e-07	-7.366353e-06	-4.411100e+00
8.600000e-07	-3.645563e-04	-4.411078e+00
8.700000e-07	1.181842e-03	-4.410080e+00
8.800000e-07	-1.414682e-03	-4.410554e+00
8.900000e-07	-2.033334e-03	-4.411503e+00
9.000000e-07	-2.770233e-03	-4.410055e+00
9.100000e-07	-1.885596e-03	-4.411000e+00
9.200000e-07	-1.903442e-03	-4.410028e+00
9.300000e-07	-1.738102e-03	-4.400550e+00
9.400000e-07	-1.759172e-03	-4.410529e+00
9.500000e-07	-1.980257e-03	-4.410525e+00
9.600000e-07	-7.429419e-04	-4.400526e+00
9.700000e-07	-1.299224e-03	-4.400025e+00
9.800000e-07	-1.335906e-03	-4.400500e+00
9.900000e-07	-2.464261e-03	-4.419973e+00
1.000000e-06	-6.292723e-04	-4.399479e+00
1.010000e-06	-2.404490e-03	-4.399449e+00
1.020000e-06	-2.218400e-03	-4.419976e+00
1.030000e-06	-3.311537e-03	-4.389474e+00
1.040000e-06	-1.944347e-03	-4.380475e+00
1.050000e-06	-2.683174e-03	-4.389874e+00
1.060000e-06	-7.811847e-04	-4.399975e+00
1.070000e-06	-2.163911e-03	-4.367898e+00
1.080000e-06	-8.093102e-04	-4.339949e+00
1.090000e-06	-2.145049e-03	-4.357920e+00
1.100000e-06	-1.588935e-03	-4.367370e+00
1.110000e-06	-3.740489e-03	-4.346816e+00
1.120000e-06	-2.040324e-03	-4.356296e+00
1.130000e-06	-3.214841e-03	-4.336911e+00
1.140000e-06	-2.214301e-03	-4.306317e+00
1.150000e-06	-2.890025e-03	-4.285810e+00
1.160000e-06	-1.480266e-03	-4.274788e+00
1.170000e-06	-1.432103e-03	-4.264660e+00
1.180000e-06	-2.135274e-03	-4.252733e+00
1.190000e-06	-2.471253e-03	-4.223637e+00
1.200000e-06	-2.831975e-03	-4.213304e+00
1.210000e-06	-2.436186e-03	-4.203027e+00
1.220000e-06	-2.995120e-03	-4.241055e+00
1.230000e-06	-2.640332e-03	-4.180127e+00
1.240000e-06	-2.332821e-03	-4.189976e+00
1.250000e-06	-2.036027e-03	-4.208474e+00
1.260000e-06	-2.529082e-03	-4.189397e+00
1.270000e-06	-2.450505e-03	-4.168973e+00
1.280000e-06	-2.432910e-03	-4.158342e+00
1.290000e-06	-1.804228e-03	-4.126920e+00
1.300000e-06	-2.687849e-03	-4.106295e+00
1.310000e-06	-2.732807e-03	-4.094715e+00
1.320000e-06	-3.057835e-03	-4.123366e+00
1.330000e-06	-2.867897e-03	-4.062658e+00
1.340000e-06	-3.845186e-03	-3.962632e+00
1.350000e-06	-2.589307e-03	-4.030630e+00
1.360000e-06	-2.821659e-03	-4.012054e+00
1.370000e-06	-1.933917e-03	-4.031130e+00
1.380000e-06	-1.829321e-03	-4.019527e+00
1.390000e-06	-1.838558e-03	-3.990524e+00
1.400000e-06	-3.164709e-03	-3.999999e+00
1.410000e-06	-3.139865e-03	-3.979497e+00
1.420000e-06	-3.478430e-03	-3.948946e+00
1.430000e-06	-3.231165e-03	-3.938443e+00
1.440000e-06	-2.044790e-03	-3.937315e+00
1.450000e-06	-2.421124e-03	-3.887889e+00
1.460000e-06	-1.923781e-03	-3.853233e+00
1.470000e-06	-2.627854e-03	-3.883182e+00
1.480000e-06	-2.444041e-03	-3.833032e+00
1.490000e-06	-3.091537e-03	-3.779079e+00
1.500000e-06	-3.545695e-03	-3.689444e+00
1.510000e-06	-2.892484e-03	-3.664145e+00
1.520000e-06	-1.853580e-03	-3.671712e+00
1.530000e-06	-2.444149e-03	-3.613085e+00
1.540000e-06	-2.184987e-03	-3.620180e+00
1.550000e-06	-3.246857e-03	-3.621055e+00
1.560000e-06	-2.718201e-03	-3.621025e+00
1.570000e-06	-3.251034e-03	-3.610050e+00
1.580000e-06	-2.787113e-03	-3.589975e+00
1.590000e-06	-2.456477e-03	-3.578496e+00
1.600000e-06	-2.727819e-03	-3.567444e+00
1.610000e-06	-2.849446e-03	-3.528362e+00
1.620000e-06	-3.238383e-03	-3.505793e+00
1.630000e-06	-2.554449e-03	-3.454163e+00
1.640000e-06	-2.557147e-03	-3.464163e+00
1.650000e-06	-3.374375e-03	-3.412079e+00
1.660000e-06	-3.679893e-03	-3.390051e+00
1.670000e-06	-2.636361e-03	-3.380476e+00
1.680000e-06	-2.514977e-03	-3.359472e+00
1.690000e-06	-2.766737e-03	-3.335367e+00
1.700000e-06	-3.570126e-03	-3.287214e+00
1.710000e-06	-2.866044e-03	-3.354313e+00
1.720000e-06	-2.897434e-03	-3.231684e+00
1.730000e-06	-3.308836e-03	-3.232130e+00
1.740000e-06	-4.269829e-03	-3.229504e+00
1.750000e-06	-2.776223e-03	-3.180509e+00
1.760000e-06	-3.169329e-03	-3.179021e+00
1.770000e-06	-1.883337e-03	-3.147920e+00
1.780000e-06	-3.180408e-03	-3.135797e+00
1.790000e-06	-4.284677e-03	-3.106813e+00
1.800000e-06	-4.066198e-03	-3.052754e+00
1.810000e-06	-3.068505e-03	-2.981155e+00
1.820000e-06	-3.419550e-03	-2.998001e+00
1.830000e-06	-3.367665e-03	-2.908366e+00
1.840000e-06	-3.329904e-03	-2.956387e+00
1.850000e-06	-3.093901e-03	-2.852634e+00
1.860000e-06	-3.199255e-03	-2.810981e+00
1.870000e-06	-4.286621e-03	-2.810001e+00
1.880000e-06	-3.878352e-03	-2.788502e+00
1.890000e-06	-4.708721e-03	-2.758945e+00
1.900000e-06	-3.099552e-03	-2.748423e+00
1.910000e-06	-3.405686e-03	-2.737317e+00
1.920000e-06	-3.283793e-03	-2.695734e+00
1.930000e-06	-3.284382e-03	-2.653158e+00
1.940000e-06	-3.301711e-03	-2.620609e+00
1.950000e-06	-4.082928e-03	-2.600551e+00
1.960000e-06	-3.478635e-03	-2.599495e+00
1.970000e-06	-3.845506e-03	-2.558462e+00
1.980000e-06	-3.094815e-03	-2.514341e+00
1.990000e-06	-3.499830e-03	-2.474738e+00
2.000000e-06	-3.303536e-03	-2.402733e+00
2.010000e-06	-3.284440e-03	-2.421529e+00
2.020000e-06	-3.435058e-03	-2.410525e+00
2.030000e-06	-3.788993e-03	-2.379474e+00
2.040000e-06	-3.709075e-03	-2.368945e+00
2.050000e-06	-4.285239e-03	-2.346345e+00
2.060000e-06	-3.181124e-03	-2.303766e+00
2.070000e-06	-3.610039e-03	-2.233110e+00
2.080000e-06	-3.708469e-03	-2.191003e+00
2.090000e-06	-4.052427e-03	-2.117445e+00
2.100000e-06	-4.148969e-03	-2.121666e+00
2.110000e-06	-3.722097e-03	-2.051555e+00
2.120000e-06	-3.709306e-03	-2.020579e+00
2.130000e-06	-3.888919e-03	-2.000425e+00
2.140000e-06	-3.461586e-03	-1.989472e+00
2.150000e-06	-3.621921e-03	-1.958422e+00
2.160000e-06	-3.881500e-03	-1.906839e+00
2.170000e-06	-3.586186e-03	-1.874233e+00
2.180000e-06	-4.177936e-03	-1.873233e+00
2.190000e-06	-4.298767e-03	-1.821655e+00
2.200000e-06	-4.385214e-03	-1.810499e+00
2.210000e-06	-4.003957e-03	-1.766924e+00
2.220000e-06	-4.073318e-03	-1.728343e+00
2.230000e-06	-3.710878e-03	-1.696289e+00
2.240000e-06	-4.404351e-03	-1.671634e+00
2.250000e-06	-4.022517e-03	-1.620581e+00
2.260000e-06	-4.033534e-03	-1.580051e+00
2.270000e-06	-4.126530e-03	-1.589972e+00
2.280000e-06	-4.091255e-03	-1.558474e+00
2.290000e-06	-4.159766e-03	-1.525817e+00
2.300000e-06	-4.282837e-03	-1.402209e+00
2.310000e-06	-4.011379e-03	-1.323445e+00
2.320000e-06	-4.392124e-03	-1.289870e+00
2.330000e-06	-4.155076e-03	-1.285317e+00
2.340000e-06	-4.155508e-03	-1.211659e+00
2.350000e-06	-3.616293e-03	-1.191033e+00
2.360000e-06	-4.127564e-03	-1.187447e+00
2.370000e-06	-4.685104e-03	-1.146943e+00
2.380000e-06	-4.934568e-03	-1.113713e+00
2.390000e-06	-4.038201e-03	-1.034185e+00
2.400000e-06	-4.758570e-03	-1.004055e+00
2.410000e-06	-4.246913e-03	-1.029501e+00
2.420000e-06	-3.922289e-03	-9.784511e-01
2.430000e-06	-4.222129e-03	-9.183884e-01
2.440000e-06	-4.342323e-03	-8.827904e-01
2.450000e-06	-5.117362e-03	-8.116341e-01
2.460000e-06	-4.746531e-03	-8.016090e-01
2.470000e-06	-4.231369e-03	-7.995251e-01
2.480000e-06	-4.959130e-03	-7.894986e-01
2.490000e-06	-4.835339e-03	-7.984207e-01
2.500000e-06	-4.439252e-03	-6.978694e-01
2.510000e-06	-4.714566e-03	-6.861365e-01
2.520000e-06	-4.726859e-03	-5.731038e-01
2.530000e-06	-4.851047e-03	-5.554722e-01
2.540000e-06	-4.749581e-03	-4.852842e-01
2.550000e-06	-4.574901e-03	-4.426553e-01
2.560000e-06	-4.882250e-03	-4.105539e-01
2.570000e-06	-4.734796e-03	-3.894749e-01
2.580000e-06	-5.244047e-03	-3.899986e-01
2.590000e-06	-4.431772e-03	-3.474182e-01
2.600000e-06	-4.623372e-03	-3.157895e-01
2.610000e-06	-4.528606e-03	-2.757353e-01
