# 251113_11:59:16.284163
t	CH1	CH2
0.000000e+00	-1.880852e-03	-3.484232e+00
1.000000e-08	-1.613667e-03	-3.527815e+00
2.000000e-08	-5.792236e-04	-3.538891e+00
3.000000e-08	-2.125439e-03	-3.548439e+00
4.000000e-08	-2.938105e-03	-3.588970e+00
5.000000e-08	-1.108502e-03	-3.580471e+00
6.000000e-08	-1.497749e-03	-3.630999e+00
7.000000e-08	-1.444163e-03	-3.582027e+00
8.000000e-08	-4.073850e-03	-3.621103e+00
9.000000e-08	-1.396645e-03	-3.603178e+00
1.000000e-07	-1.431714e-03	-3.624128e+00
1.100000e-07	-2.506685e-04	-3.645284e+00
1.200000e-07	-4.381539e-03	-3.748813e+00
1.300000e-07	-2.597957e-03	-3.779894e+00
1.400000e-07	-2.839870e-03	-3.821371e+00
1.500000e-07	-2.100246e-04	-3.793669e+00
1.600000e-07	-2.850774e-03	-3.876177e+00
1.700000e-07	-1.805816e-03	-3.888312e+00
1.800000e-07	-1.504542e-03	-3.906883e+00
1.900000e-07	-1.845692e-03	-3.968897e+00
2.000000e-07	-3.217170e-03	-3.979942e+00
2.100000e-07	-3.815932e-03	-3.998996e+00
2.200000e-07	-3.986947e-03	-4.000447e+00
2.300000e-07	3.617486e-04	-3.989575e+00
2.400000e-07	-1.687969e-03	-4.013550e+00
2.500000e-07	2.225660e-03	-4.010526e+00
2.600000e-07	-3.358215e-03	-4.071601e+00
2.700000e-07	-7.934923e-04	-4.073682e+00
2.800000e-07	-5.378134e-03	-4.032730e+00
2.900000e-07	-2.564348e-03	-4.025235e+00
3.000000e-07	-4.763662e-03	-4.073683e+00
3.100000e-07	-1.204183e-03	-4.087742e+00
3.200000e-07	-1.449517e-03	-4.067862e+00
3.300000e-07	1.529651e-03	-4.158815e+00
3.400000e-07	-1.144942e-03	-4.168470e+00
3.500000e-07	-1.960401e-03	-4.159923e+00
3.600000e-07	-4.884089e-03	-4.201024e+00
3.700000e-07	-2.091252e-03	-4.200050e+00
3.800000e-07	-3.777009e-03	-4.221002e+00
3.900000e-07	-2.844326e-03	-4.222628e+00
4.000000e-07	-2.572723e-03	-4.223128e+00
4.100000e-07	3.631201e-05	-4.263603e+00
4.200000e-07	-6.770033e-04	-4.263737e+00
4.300000e-07	-1.697566e-03	-4.284162e+00
4.400000e-07	-3.712537e-03	-4.304833e+00
4.500000e-07	-2.476954e-03	-4.316290e+00
4.600000e-07	-2.401882e-03	-4.316788e+00
4.700000e-07	-2.499792e-03	-4.338341e+00
4.800000e-07	-2.573879e-03	-4.357340e+00
4.900000e-07	-1.074970e-03	-4.327367e+00
5.000000e-07	-6.719698e-04	-4.339845e+00
5.100000e-07	-2.121102e-03	-4.388421e+00
5.200000e-07	-1.962311e-03	-4.349895e+00
5.300000e-07	-1.997263e-03	-4.388420e+00
5.400000e-07	-1.243759e-03	-4.369446e+00
5.500000e-07	-2.556293e-03	-4.399524e+00
5.600000e-07	-2.907366e-03	-4.390976e+00
5.700000e-07	-3.309896e-03	-4.389976e+00
5.800000e-07	-1.226225e-03	-4.400496e+00
5.900000e-07	-1.820575e-03	-4.420099e+00
6.000000e-07	-6.781449e-04	-4.400524e+00
6.100000e-07	-1.436222e-03	-4.440023e+00
6.200000e-07	-8.144434e-04	-4.421600e+00
6.300000e-07	-1.565469e-03	-4.441029e+00
6.400000e-07	-2.068407e-03	-4.411053e+00
6.500000e-07	-3.837250e-03	-4.421653e+00
6.600000e-07	-2.329030e-03	-4.412628e+00
6.700000e-07	-2.411271e-03	-4.421605e+00
6.800000e-07	-1.863818e-03	-4.441079e+00
6.900000e-07	-1.428170e-03	-4.412109e+00
7.000000e-07	1.852741e-04	-4.443127e+00
7.100000e-07	-1.092852e-03	-4.450605e+00
7.200000e-07	-1.444294e-03	-4.413683e+00
7.300000e-07	-2.949906e-03	-4.432606e+00
7.400000e-07	-2.288005e-03	-4.485132e+00
7.500000e-07	-2.392449e-03	-4.432227e+00
7.600000e-07	-1.721271e-03	-4.491608e+00
7.700000e-07	-2.050731e-03	-4.482679e+00
7.800000e-07	-8.868618e-04	-4.473208e+00
7.900000e-07	-5.819698e-04	-4.421180e+00
8.000000e-07	-1.105126e-03	-4.433078e+00
8.100000e-07	-1.996548e-03	-4.463630e+00
8.200000e-07	-1.820102e-03	-4.443207e+00
8.300000e-07	-1.934508e-03	-4.434182e+00
8.400000e-07	-1.598774e-03	-4.452255e+00
8.500000e-07	-2.196493e-03	-4.482654e+00
8.600000e-07	-1.317227e-03	-4.462612e+00
8.700000e-07	-1.469357e-03	-4.462710e+00
8.800000e-07	-1.484133e-03	-4.443207e+00
8.900000e-07	-1.875720e-03	-4.463156e+00
9.000000e-07	-1.866578e-03	-4.463131e+00
9.100000e-07	-1.693648e-03	-4.441580e+00
9.200000e-07	-1.587711e-03	-4.421182e+00
9.300000e-07	-1.536934e-03	-4.452055e+00
9.400000e-07	-2.098699e-03	-4.432604e+00
9.500000e-07	-1.379395e-03	-4.403574e+00
9.600000e-07	-1.877615e-03	-4.412075e+00
9.700000e-07	-1.813390e-03	-4.451625e+00
9.800000e-07	-1.674929e-03	-4.410552e+00
9.900000e-07	-1.244496e-03	-4.430550e+00
1.000000e-06	-1.567481e-03	-4.410526e+00
1.010000e-06	-5.122208e-04	-4.401530e+00
1.020000e-06	-4.034134e-03	-4.421525e+00
1.030000e-06	-1.678575e-03	-4.410075e+00
1.040000e-06	-3.642994e-03	-4.400001e+00
1.050000e-06	-2.147146e-03	-4.409976e+00
1.060000e-06	-1.087621e-03	-4.409975e+00
1.070000e-06	-1.047701e-03	-4.399024e+00
1.080000e-06	1.749646e-03	-4.358948e+00
1.090000e-06	-1.382858e-03	-4.379997e+00
1.100000e-06	-1.100357e-03	-4.368950e+00
1.110000e-06	-5.007519e-03	-4.389422e+00
1.120000e-06	-2.546730e-03	-4.369471e+00
1.130000e-06	-4.232656e-03	-4.379370e+00
1.140000e-06	-1.380941e-03	-4.357446e+00
1.150000e-06	-1.147387e-03	-4.336892e+00
1.160000e-06	2.999366e-03	-4.296337e+00
1.170000e-06	3.331031e-04	-4.327317e+00
1.180000e-06	-6.268555e-04	-4.303784e+00
1.190000e-06	-4.719873e-03	-4.283711e+00
1.200000e-06	-2.261648e-03	-4.275736e+00
1.210000e-06	-4.735725e-03	-4.274661e+00
1.220000e-06	-1.654970e-03	-4.233704e+00
1.230000e-06	-2.565405e-03	-4.230652e+00
1.240000e-06	2.180587e-03	-4.231053e+00
1.250000e-06	1.173553e-03	-4.200553e+00
1.260000e-06	1.000592e-03	-4.200024e+00
