# 251113_12:07:25.292025
t	CH1	CH2
0.000000e+00	-6.745060e-03	-3.464711e+00
1.000000e-08	4.064574e-03	-3.535286e+00
2.000000e-08	-8.172895e-03	-3.545370e+00
3.000000e-08	1.735605e-03	-3.587942e+00
4.000000e-08	-7.548859e-03	-3.588000e+00
5.000000e-08	3.499851e-03	-3.608975e+00
6.000000e-08	-7.440006e-03	-3.619451e+00
7.000000e-08	9.252148e-04	-3.641029e+00
8.000000e-08	-6.140032e-03	-3.643025e+00
9.000000e-08	2.833541e-03	-3.661508e+00
1.000000e-07	-5.113859e-03	-3.653187e+00
1.100000e-07	9.127630e-04	-3.722782e+00
1.200000e-07	-5.267868e-03	-3.704967e+00
1.300000e-07	6.643352e-04	-3.797438e+00
1.400000e-07	-3.945410e-03	-3.820549e+00
1.500000e-07	-1.183349e-03	-3.880085e+00
1.600000e-07	-4.382189e-03	-3.913035e+00
1.700000e-07	-9.673281e-04	-3.924809e+00
1.800000e-07	-2.386362e-03	-3.935391e+00
1.900000e-07	-2.852286e-03	-3.976350e+00
2.000000e-07	-2.732641e-03	-3.977944e+00
2.100000e-07	-2.362618e-03	-3.988449e+00
2.200000e-07	-3.804278e-04	-4.009475e+00
2.300000e-07	-3.531333e-03	-3.990527e+00
2.400000e-07	-1.592917e-03	-4.030524e+00
2.500000e-07	-4.206087e-03	-4.071025e+00
2.600000e-07	2.312763e-04	-4.041103e+00
2.700000e-07	-4.439670e-03	-4.072134e+00
2.800000e-07	-1.269270e-03	-4.081159e+00
2.900000e-07	-4.184749e-03	-4.103683e+00
3.000000e-07	1.393566e-03	-4.104338e+00
3.100000e-07	-2.933926e-03	-4.144267e+00
3.200000e-07	-6.223780e-04	-4.156841e+00
3.300000e-07	-5.066091e-03	-4.158824e+00
3.400000e-07	-5.386702e-04	-4.168398e+00
3.500000e-07	-4.030174e-03	-4.209476e+00
3.600000e-07	-1.127894e-03	-4.201501e+00
3.700000e-07	-3.930196e-03	-4.210525e+00
3.800000e-07	7.589470e-05	-4.200474e+00
3.900000e-07	-1.896463e-03	-4.231579e+00
4.000000e-07	-1.427034e-03	-4.231056e+00
4.100000e-07	-3.523649e-03	-4.293632e+00
4.200000e-07	-2.286796e-03	-4.273179e+00
4.300000e-07	-2.447096e-03	-4.293741e+00
4.400000e-07	-2.139029e-03	-4.284691e+00
4.500000e-07	-2.840145e-03	-4.304763e+00
4.600000e-07	-2.597942e-03	-4.326362e+00
4.700000e-07	-1.908649e-03	-4.337343e+00
4.800000e-07	-1.869416e-03	-4.374398e+00
4.900000e-07	-2.912779e-03	-4.358396e+00
5.000000e-07	-2.542847e-03	-4.388917e+00
5.100000e-07	-2.363036e-03	-4.366398e+00
5.200000e-07	-7.561590e-04	-4.398449e+00
5.300000e-07	-3.346932e-03	-4.368899e+00
5.400000e-07	-2.115258e-03	-4.389998e+00
5.500000e-07	-2.615363e-03	-4.389498e+00
5.600000e-07	-2.527600e-03	-4.399475e+00
5.700000e-07	-2.052633e-03	-4.410025e+00
5.800000e-07	-2.794563e-03	-4.410575e+00
5.900000e-07	-1.942541e-03	-4.410528e+00
6.000000e-07	-1.135688e-03	-4.410551e+00
6.100000e-07	-7.856766e-04	-4.421526e+00
6.200000e-07	-2.294337e-03	-4.419554e+00
6.300000e-07	-2.319218e-03	-4.450031e+00
6.400000e-07	-3.265596e-03	-4.451579e+00
6.500000e-07	-2.449900e-03	-4.410629e+00
6.600000e-07	-2.373794e-03	-4.421158e+00
6.700000e-07	-1.607772e-03	-4.401083e+00
6.800000e-07	-2.370983e-03	-4.440558e+00
6.900000e-07	-1.756698e-03	-4.461651e+00
7.000000e-07	-3.106131e-03	-4.421056e+00
7.100000e-07	-2.243216e-03	-4.472208e+00
7.200000e-07	-3.858292e-03	-4.441584e+00
7.300000e-07	-2.205385e-03	-4.480584e+00
7.400000e-07	-2.302478e-03	-4.431534e+00
7.500000e-07	-8.028364e-04	-4.472729e+00
7.600000e-07	-2.122738e-03	-4.472656e+00
7.700000e-07	-1.134806e-03	-4.474557e+00
7.800000e-07	-3.528681e-03	-4.461680e+00
7.900000e-07	-3.205776e-03	-4.433083e+00
8.000000e-07	-4.064078e-03	-4.481209e+00
8.100000e-07	-2.806009e-03	-4.463108e+00
8.200000e-07	-2.117719e-03	-4.480630e+00
8.300000e-07	-5.686917e-04	-4.442160e+00
8.400000e-07	-1.084007e-03	-4.464084e+00
8.500000e-07	-1.401095e-03	-4.442632e+00
8.600000e-07	-2.556446e-03	-4.472579e+00
8.700000e-07	-2.772475e-03	-4.472658e+00
8.800000e-07	-3.492152e-03	-4.441580e+00
8.900000e-07	-3.951122e-03	-4.482134e+00
9.000000e-07	-2.567195e-03	-4.442725e+00
9.100000e-07	-9.176260e-04	-4.453057e+00
9.200000e-07	-3.113331e-04	-4.433083e+00
9.300000e-07	-1.271654e-03	-4.471156e+00
9.400000e-07	-2.028698e-03	-4.423604e+00
9.500000e-07	-3.266961e-03	-4.431580e+00
9.600000e-07	-2.725403e-03	-4.412128e+00
9.700000e-07	-3.145963e-03	-4.442030e+00
9.800000e-07	-2.179171e-03	-4.441054e+00
9.900000e-07	-2.047686e-03	-4.420580e+00
1.000000e-06	-5.909793e-04	-4.430054e+00
1.010000e-06	-1.384829e-03	-4.410501e+00
1.020000e-06	-9.850356e-04	-4.400480e+00
1.030000e-06	-2.433412e-03	-4.419054e+00
1.040000e-06	-2.708805e-03	-4.400029e+00
1.050000e-06	-2.990453e-03	-4.401100e+00
1.060000e-06	-2.312420e-03	-4.399975e+00
1.070000e-06	-1.403306e-03	-4.399925e+00
1.080000e-06	-5.103875e-04	-4.389975e+00
1.090000e-06	-8.172929e-04	-4.388374e+00
1.100000e-06	-1.304814e-03	-4.398499e+00
1.110000e-06	-1.677923e-03	-4.368346e+00
1.120000e-06	-2.407600e-03	-4.379395e+00
1.130000e-06	-2.375764e-03	-4.348943e+00
1.140000e-06	-2.855899e-03	-4.367372e+00
1.150000e-06	-9.402944e-04	-4.335867e+00
1.160000e-06	-9.687875e-04	-4.337768e+00
1.170000e-06	-1.384381e-03	-4.344291e+00
1.180000e-06	-1.942940e-03	-4.335738e+00
1.190000e-06	-1.733753e-03	-4.286236e+00
1.200000e-06	-1.347171e-03	-4.234687e+00
1.210000e-06	-1.967724e-03	-4.292660e+00
1.220000e-06	-2.376750e-03	-4.283157e+00
1.230000e-06	-1.548553e-03	-4.211082e+00
1.240000e-06	-1.051308e-03	-4.241104e+00
1.250000e-06	-7.368891e-04	-4.240078e+00
1.260000e-06	-2.419224e-03	-4.210928e+00
1.270000e-06	-2.553468e-03	-4.199524e+00
1.280000e-06	-2.951458e-03	-4.187499e+00
