# 251113_12:54:29.358591
t	CH1	CH2
0.000000e+00	-1.369236e-03	-3.461584e+00
1.000000e-08	-3.711338e-03	-3.462266e+00
2.000000e-08	-1.493975e-03	-3.534214e+00
3.000000e-08	-4.765406e-03	-3.526768e+00
4.000000e-08	-1.106860e-03	-3.547896e+00
5.000000e-08	-4.088565e-03	-3.577971e+00
6.000000e-08	-8.757817e-04	-3.597949e+00
7.000000e-08	-4.323120e-03	-3.590500e+00
8.000000e-08	-1.538756e-03	-3.600503e+00
9.000000e-08	-4.292251e-03	-3.622026e+00
1.000000e-07	-1.299781e-03	-3.641082e+00
1.100000e-07	-4.142705e-03	-3.703084e+00
1.200000e-07	-1.624181e-03	-3.675161e+00
1.300000e-07	-4.566813e-03	-3.696749e+00
1.400000e-07	-1.289891e-03	-3.776296e+00
1.500000e-07	-3.049843e-03	-3.769430e+00
1.600000e-07	-1.284575e-03	-3.818058e+00
1.700000e-07	-3.881136e-03	-3.810639e+00
1.800000e-07	-2.288533e-03	-3.874612e+00
1.900000e-07	-3.498993e-03	-3.935344e+00
2.000000e-07	-2.554017e-03	-3.954821e+00
2.100000e-07	-4.109430e-03	-3.958945e+00
2.200000e-07	-1.835010e-03	-3.978500e+00
2.300000e-07	-1.619697e-03	-3.999973e+00
2.400000e-07	-1.904896e-03	-4.008975e+00
2.500000e-07	-2.828816e-03	-3.999500e+00
2.600000e-07	-3.821093e-03	-3.991004e+00
2.700000e-07	-2.529793e-03	-4.030506e+00
2.800000e-07	-2.191258e-03	-4.033654e+00
2.900000e-07	-2.641366e-03	-4.050539e+00
3.000000e-07	-3.675393e-03	-4.073168e+00
3.100000e-07	-1.962338e-03	-4.053606e+00
3.200000e-07	-1.845507e-03	-4.104790e+00
3.300000e-07	-1.672151e-03	-4.112793e+00
3.400000e-07	-4.296294e-03	-4.146844e+00
3.500000e-07	-1.759241e-03	-4.143945e+00
3.600000e-07	-3.461941e-03	-4.187425e+00
3.700000e-07	-1.377555e-03	-4.228950e+00
3.800000e-07	-3.946048e-03	-4.219429e+00
3.900000e-07	-3.763159e-03	-4.219980e+00
4.000000e-07	-2.164010e-03	-4.240983e+00
4.100000e-07	-2.382801e-03	-4.249054e+00
4.200000e-07	3.797813e-04	-4.242588e+00
4.300000e-07	-3.785253e-03	-4.261558e+00
4.400000e-07	-1.897253e-03	-4.252139e+00
4.500000e-07	-4.627822e-03	-4.251664e+00
4.600000e-07	-3.504212e-03	-4.315787e+00
4.700000e-07	-5.078384e-03	-4.323741e+00
4.800000e-07	-1.271565e-03	-4.296319e+00
4.900000e-07	-2.271391e-03	-4.354822e+00
5.000000e-07	3.434264e-04	-4.335842e+00
5.100000e-07	-2.774606e-03	-4.378446e+00
5.200000e-07	-2.138772e-03	-4.357972e+00
5.300000e-07	-4.835861e-03	-4.377899e+00
5.400000e-07	-3.519105e-03	-4.388399e+00
5.500000e-07	-4.952765e-03	-4.399451e+00
5.600000e-07	-3.323524e-03	-4.388949e+00
5.700000e-07	-3.106974e-03	-4.379949e+00
5.800000e-07	-8.379341e-04	-4.399976e+00
5.900000e-07	-1.578997e-03	-4.400001e+00
6.000000e-07	-2.187514e-03	-4.399954e+00
6.100000e-07	-2.713846e-03	-4.400025e+00
6.200000e-07	-4.128691e-03	-4.400526e+00
6.300000e-07	-4.048916e-03	-4.400000e+00
6.400000e-07	-2.867769e-03	-4.420026e+00
6.500000e-07	-1.924614e-03	-4.420056e+00
6.600000e-07	-2.885800e-03	-4.440478e+00
6.700000e-07	-3.053812e-03	-4.441529e+00
6.800000e-07	-3.282859e-03	-4.420529e+00
6.900000e-07	-2.478986e-03	-4.440504e+00
7.000000e-07	-3.406742e-03	-4.421512e+00
7.100000e-07	-2.983869e-03	-4.421108e+00
7.200000e-07	-3.154865e-03	-4.471080e+00
7.300000e-07	-1.688668e-03	-4.441626e+00
7.400000e-07	-2.832521e-03	-4.421560e+00
7.500000e-07	-2.613858e-03	-4.491601e+00
7.600000e-07	-4.397080e-03	-4.481109e+00
7.700000e-07	-3.161981e-03	-4.482157e+00
7.800000e-07	-3.108575e-03	-4.443057e+00
7.900000e-07	-1.109347e-03	-4.482084e+00
8.000000e-07	-1.930725e-03	-4.472558e+00
8.100000e-07	-2.287141e-03	-4.452583e+00
8.200000e-07	-3.396091e-03	-4.482179e+00
8.300000e-07	-2.372641e-03	-4.451006e+00
8.400000e-07	-3.266217e-03	-4.481553e+00
8.500000e-07	-2.923745e-03	-4.461230e+00
8.600000e-07	-3.525715e-03	-4.451663e+00
8.700000e-07	-2.219084e-03	-4.452034e+00
8.800000e-07	-1.403837e-03	-4.434087e+00
8.900000e-07	-1.732055e-03	-4.482030e+00
9.000000e-07	-2.896273e-03	-4.461055e+00
9.100000e-07	-3.650563e-03	-4.431078e+00
9.200000e-07	-2.855587e-03	-4.450609e+00
9.300000e-07	-2.671744e-03	-4.461510e+00
9.400000e-07	-3.857106e-03	-4.440555e+00
9.500000e-07	-3.717269e-03	-4.421605e+00
9.600000e-07	-2.115625e-03	-4.451079e+00
9.700000e-07	-1.916532e-03	-4.410558e+00
9.800000e-07	-2.381273e-03	-4.440055e+00
9.900000e-07	-2.191764e-03	-4.469553e+00
1.000000e-06	-1.866535e-03	-4.450529e+00
1.010000e-06	-2.453593e-03	-4.400501e+00
1.020000e-06	-2.711329e-03	-4.400054e+00
1.030000e-06	-3.696862e-03	-4.400550e+00
1.040000e-06	-3.516619e-03	-4.429528e+00
1.050000e-06	-3.557736e-03	-4.409525e+00
1.060000e-06	-2.650757e-03	-4.409475e+00
1.070000e-06	-3.104365e-03	-4.399950e+00
1.080000e-06	-1.289779e-03	-4.389500e+00
1.090000e-06	-1.059528e-03	-4.398499e+00
1.100000e-06	-1.461090e-03	-4.399399e+00
1.110000e-06	-3.137144e-03	-4.398447e+00
1.120000e-06	-2.894540e-03	-4.387925e+00
1.130000e-06	-3.452042e-03	-4.367849e+00
1.140000e-06	-2.994188e-03	-4.388370e+00
1.150000e-06	-3.230337e-03	-4.347270e+00
1.160000e-06	-2.307470e-03	-4.355316e+00
1.170000e-06	-8.188736e-04	-4.354340e+00
1.180000e-06	-1.096268e-03	-4.323739e+00
1.190000e-06	-2.330620e-03	-4.314690e+00
1.200000e-06	-3.577296e-03	-4.302235e+00
1.210000e-06	-3.943338e-03	-4.271589e+00
1.220000e-06	-3.826249e-03	-4.270657e+00
1.230000e-06	-3.739753e-03	-4.291558e+00
1.240000e-06	-3.165748e-03	-4.259583e+00
1.250000e-06	-1.133076e-03	-4.230503e+00
1.260000e-06	2.032278e-04	-4.220502e+00
1.270000e-06	-9.012240e-04	-4.199000e+00
1.280000e-06	-3.087296e-03	-4.218453e+00
1.290000e-06	-3.380083e-03	-4.148976e+00
1.300000e-06	-4.427818e-03	-4.188896e+00
1.310000e-06	-3.729286e-03	-4.164893e+00
1.320000e-06	-3.459000e-03	-4.175816e+00
1.330000e-06	-2.037318e-03	-4.103264e+00
1.340000e-06	-8.333280e-04	-4.103738e+00
1.350000e-06	-1.015726e-03	-4.110637e+00
1.360000e-06	-2.655195e-03	-4.091608e+00
1.370000e-06	-3.568580e-03	-4.020527e+00
1.380000e-06	-4.051912e-03	-3.980555e+00
1.390000e-06	-3.210410e-03	-4.020100e+00
1.400000e-06	-3.255592e-03	-4.030449e+00
1.410000e-06	-1.351767e-03	-4.010000e+00
1.420000e-06	-1.575852e-03	-3.978522e+00
1.430000e-06	-1.005029e-03	-3.987475e+00
1.440000e-06	-3.157013e-03	-3.978397e+00
1.450000e-06	-4.454260e-03	-3.976398e+00
1.460000e-06	-5.134876e-03	-3.996272e+00
1.470000e-06	-3.388055e-03	-3.924317e+00
1.480000e-06	-3.252620e-03	-3.912210e+00
1.490000e-06	-2.196343e-03	-3.862005e+00
1.500000e-06	-1.265112e-03	-3.855976e+00
1.510000e-06	-1.332367e-03	-3.797017e+00
1.520000e-06	-1.919053e-03	-3.793791e+00
1.530000e-06	-4.256273e-03	-3.774166e+00
1.540000e-06	-5.036265e-03	-3.713193e+00
1.550000e-06	-4.302369e-03	-3.651181e+00
1.560000e-06	-2.798859e-03	-3.630628e+00
1.570000e-06	-2.855930e-03	-3.639525e+00
1.580000e-06	-2.015330e-03	-3.610000e+00
1.590000e-06	-2.341917e-03	-3.609501e+00
1.600000e-06	-2.642398e-03	-3.586943e+00
1.610000e-06	-3.659213e-03	-3.586422e+00
1.620000e-06	-5.153379e-03	-3.586343e+00
1.630000e-06	-3.922272e-03	-3.554316e+00
1.640000e-06	-3.521888e-03	-3.503233e+00
1.650000e-06	-2.403897e-03	-3.462158e+00
1.660000e-06	-2.256904e-03	-3.490603e+00
1.670000e-06	-3.072351e-03	-3.450004e+00
1.680000e-06	-3.342646e-03	-3.439050e+00
1.690000e-06	-4.139221e-03	-3.418925e+00
1.700000e-06	-4.377446e-03	-3.357969e+00
1.710000e-06	-4.462847e-03	-3.373392e+00
1.720000e-06	-3.377530e-03	-3.314713e+00
1.730000e-06	-2.544726e-03	-3.292137e+00
1.740000e-06	-2.652972e-03	-3.275103e+00
1.750000e-06	-2.571716e-03	-3.260051e+00
1.760000e-06	-3.248150e-03	-3.149550e+00
1.770000e-06	-4.169162e-03	-3.168977e+00
1.780000e-06	-3.464245e-03	-3.197472e+00
1.790000e-06	-4.049158e-03	-3.167346e+00
